#	COMANDOS					1 - Abajo Izquierda a Arriba Izquierda
(ARMOR)					2 - Abajo Derecha a Arriba Derecha
#	gold	320				0	0	0	0		0	80	0	60		180	0	0	0		0	0	0
	flags
	wave		8		22
					0												orc_warrior		orc_warrior
					2													orc_warrior
					6												goblin_kr6
					0.6														goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6												goblin_kr6	goblin_kr6
					0.6													goblin_kr6	goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0
					7														orc_warrior
					2													orc_warrior
					2														orc_warrior
					6												goblin_kr6		goblin_kr6
					0.6													goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6			crowcaller										goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					7												orc_warrior
					2													orc_warrior
					2												orc_warrior
					2			crowcaller										orc_warrior
					2												orc_warrior		orc_warrior



























#	WAVE 9										S. Archers x12
S. Blades x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	15	10		0	0	0	0		0	0	0	0		0	0	0
#	gold	300				0	0	150	150		0	0	0	0		0	0	0	0		0	0	0
	wave		9		22
					0								shadow_blades
					0.6							shadow_blades		shadow_blades
					0.6							shadow_blades		shadow_blades
					0
					5							shadow_archer_kr6
					1.2									shadow_archer_kr6
					1							shadow_archer_kr6
					1.2									shadow_archer_kr6
					10							shadow_archer_kr6	shadow_blades
					0.6								shadow_blades
					0.6								shadow_blades	shadow_archer_kr6
					0.6								shadow_blades
					0.6							shadow_archer_kr6	shadow_blades
					0
					14								shadow_blades
					0.6								shadow_blades
					0.6								shadow_blades
					0.6								shadow_blades
					0.2							shadow_archer_kr6
					0.4								shadow_blades
					1.6									shadow_archer_kr6
					2							shadow_archer_kr6


















#	WAVE 10					Blackguard x12										Goblin x20
O. Shaman x5
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	12	0	0		0	0	0	27		0	0	0	2		0	0	0
#	gold	201				0	96	0	0		0	0	0	81		0	0	0	24		0	0	0
	wave		10		25
					0												goblin_kr6	orc_shaman
					0.6														goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6											goblin_kr6
					0.6											goblin_kr6
					0
					5												goblin_kr6		goblin_kr6
					0.6											goblin_kr6
					0.6											goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6												goblin_kr6
					0.6											goblin_kr6
					2		blackguard		blackguard
					1			blackguard
					1		blackguard		blackguard
					1			blackguard
					8											goblin_kr6
					0.6											goblin_kr6
					0.6											goblin_kr6
					0.6											goblin_kr6
					0.6											goblin_kr6
					0.6											goblin_kr6
					2		blackguard
					1				blackguard
					1		blackguard
					1				blackguard									orc_shaman
					1		blackguard
					1				blackguard
					4												goblin_kr6
					0.6														goblin_kr6
					0.6												goblin_kr6
					0.6														goblin_kr6
					0.6												goblin_kr6
					0.6														goblin_kr6
					0.6												goblin_kr6







#	WAVE 11					Bandit x27
S. Archers x12					Crow x38
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					27	0	0	12		38	0	0	0		0	0	0	0		0	0	0
#	gold	391				135	0	0	180		76	0	0	0		0	0	0	0		0	0	0
	wave		11		23
					0		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6		crow
					0.6			bandit_kr6			crow
					0.6						crow
					1		shadow_archer_kr6				crow
					0.6						crow
					0.6				shadow_archer_kr6		crow
					0.6
					1			shadow_archer_kr6
					3				shadow_archer_kr6
					1		shadow_archer_kr6
					1			shadow_archer_kr6
					2						crow
					0.6						crow
					0.6						crow
					0.6						crow
					0.6						crow
					0.6						crow
					3						crow
					0.6						crow
					0.6						crow
					0.6						crow
					0.6						crow
					0.6						crow
					0			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					0.6			bandit_kr6
					1		shadow_archer_kr6		shadow_archer_kr6
					3			shadow_archer_kr6			crow
					0.6						crow
					0.6			shadow_archer_kr6			crow
					0.6						crow
					0.6		shadow_archer_kr6		shadow_archer_kr6		crow
					0.6						crow
					2						crow
					0.6						crow
					0.6						crow
					0.6						crow
					0.6		bandit_kr6		bandit_kr6		crow
					0.6		bandit_kr6		bandit_kr6		crow
					0.6			bandit_kr6
					0.6			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					0						crow
					0.6						crow
					0.6						crow
					0.6						crow
					1						crow
					0.6						crow
					0.6						crow
					0.6						crow

#	WAVE 12										Crowcaller x4
Blackguard x28					O. Warrior x15
O. Shaman x6
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	22	0	0		0	3	0	0		18	0	0	3		0	0	0
#	gold	566				0	176	0	0		0	120	0	0		270	0	0	36		0	0	0
	wave		12		23
					0													orc_warrior
					2												orc_shaman		orc_warrior
					2.5								crowcaller					orc_warrior
					2							blackguard		blackguard
					1							blackguard		blackguard
					1							blackguard		blackguard			orc_warrior		orc_warrior
					1.5													orc_warrior
					6							blackguard
					1									blackguard
					1							blackguard
					1									blackguard
					1							blackguard
					1									blackguard
					1							blackguard
					1									blackguard
					6												orc_warrior		orc_warrior
					2												orc_warrior		orc_warrior
					2.5													orc_shaman
					2												orc_warrior		orc_warrior
					15									crowcaller			orc_warrior		orc_warrior
					1							blackguard
					1								blackguard					orc_shaman
					1							blackguard
					1								blackguard				orc_warrior
					1							blackguard
					1								blackguard
					1							blackguard		crowcaller			orc_warrior		orc_warrior
					1								blackguard
					1													orc_warrior
					1
